"Volksabstimmungen (Ergebnisse Ebene Gemeinde seit 1981)"

"Kanton (-) / Bezirk (>>) / Gemeinde (......)","Datum und Vorlage","Stimmberechtigte","Abgegebene Stimmen","Beteiligung in %","Gültige Stimmzettel","Ja","Nein","Ja in %"
"......Saint-Imier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2950,1138,38.6,1117,658,459,58.9
"......Sonceboz-Sombeval","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1162,489,42.1,483,286,197,59.2
"......Sonvilier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",852,270,31.7,264,146,118,55.3
"......Tramelan","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3166,1297,41.0,1265,784,481,62.0
"......Villeret","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",648,281,43.4,277,177,100,63.9
"......Sauge","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",581,242,41.7,239,144,95,60.3
"......Péry-La Heutte","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1322,534,40.4,523,315,208,60.2
"......Belprahon","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",236,119,50.4,118,60,58,50.8
"......Champoz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",129,81,62.8,80,35,45,43.8
"......Corcelles (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",173,70,40.5,67,33,34,49.3
"......Court","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1019,402,39.5,394,182,212,46.2
"......Crémines","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",409,152,37.2,147,105,42,71.4
"......Eschert","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",250,108,43.2,108,59,49,54.6
"......Grandval","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",276,105,38.0,101,66,35,65.3
"......Loveresse","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",249,106,42.6,106,61,45,57.5
"......Moutier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4788,2095,43.8,2039,1233,806,60.5
"......Perrefitte","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",329,169,51.4,164,110,54,67.1
"......Reconvilier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1460,645,44.2,634,387,247,61.0
"......Roches (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",174,63,36.2,58,30,28,51.7
"......Saicourt","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",450,189,42.0,187,103,84,55.1
"......Saules (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",123,68,55.3,68,37,31,54.4
"......Schelten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",50,16,32.0,15,10,5,66.7
"......Seehof","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",60,18,30.0,18,4,14,22.2
"......Sorvilier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",207,98,47.3,97,54,43,55.7
"......Tavannes","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2252,813,36.1,797,493,304,61.9
"......Rebévelier","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",33,22,66.7,22,16,6,72.7
"......Petit-Val","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",303,158,52.1,155,87,68,56.1
"......Valbirse","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2629,1128,42.9,1103,637,466,57.8
"......La Neuveville","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2462,1235,50.2,1200,684,516,57.0
"......Nods","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",540,363,67.2,350,177,173,50.6
"......Plateau de Diesse","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1521,915,60.2,891,521,370,58.5
">> Verwaltungskreis Biel/Bienne","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",62162,22530,36.2,22135,13566,8569,61.3
"......Biel/Bienne","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",31516,10890,34.6,10664,7103,3561,66.6
"......Evilard","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1768,802,45.4,784,450,334,57.4
"......Lengnau (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3184,1100,34.5,1092,650,442,59.5
"......Meinisberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",939,362,38.6,358,190,168,53.1
"......Pieterlen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2391,737,30.8,719,425,294,59.1
"......Aegerten","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1293,471,36.4,463,251,212,54.2
"......Bellmund","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1147,495,43.2,484,224,260,46.3
"......Brügg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2883,1047,36.3,1032,650,382,63.0
"......Ipsach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2816,1150,40.8,1139,650,489,57.1
"......Ligerz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",431,209,48.5,208,91,117,43.8
"......Mörigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",699,341,48.8,333,148,185,44.4
"......Nidau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",4601,1572,34.2,1546,963,583,62.3
"......Orpund","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1895,661,34.9,654,374,280,57.2
"......Port","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2456,1072,43.6,1059,568,491,53.6
"......Safnern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1426,541,37.9,533,283,250,53.1
"......Scheuren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",334,106,31.7,105,53,52,50.5
"......Schwadernau","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",486,165,34.0,159,88,71,55.3
"......Sutz-Lattrigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",996,403,40.5,401,201,200,50.1
"......Twann-Tüscherz","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",901,406,45.1,402,204,198,50.7
">> Verwaltungskreis Seeland","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",53676,20287,37.8,20039,10754,9285,53.7
"......Aarberg","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",3053,1214,39.8,1198,658,540,54.9
"......Bargen (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",754,302,40.1,295,160,135,54.2
"......Grossaffoltern","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2179,875,40.2,865,469,396,54.2
"......Kallnach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1413,506,35.8,500,268,232,53.6
"......Kappelen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",964,354,36.7,345,189,156,54.8
"......Lyss","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",9770,3582,36.7,3538,1887,1651,53.3
"......Radelfingen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",971,373,38.4,370,207,163,55.9
"......Rapperswil (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2024,705,34.8,691,350,341,50.7
"......Schüpfen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2720,1077,39.6,1057,586,471,55.4
"......Seedorf (BE)","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2380,977,41.1,967,502,465,51.9
"......Arch","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1146,411,35.9,408,198,210,48.5
"......Büetigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",613,254,41.4,253,131,122,51.8
"......Büren an der Aare","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",2405,898,37.3,886,480,406,54.2
"......Diessbach bei Büren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",652,256,39.3,255,155,100,60.8
"......Dotzigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",1054,351,33.3,343,209,134,60.9
"......Leuzigen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",953,329,34.5,326,155,171,47.5
"......Meienried (Gemeinsame Urne, Standort: Büren an der Aare          )","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",...,...,...,...,...,...,...
"......Oberwil bei Büren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",628,228,36.3,228,108,120,47.4
"......Rüti bei Büren","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",667,193,28.9,192,109,83,56.8
"......Wengi","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",436,153,35.1,152,82,70,53.9
"......Brüttelen","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",424,131,30.9,129,68,61,52.7
"......Erlach","2012-03-11 Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»",962,394,41.0,391,202,189,51.7
