Kanton,Gemeinde,Schweizer,Ausländer,Einbürgerungen,Ja,Nein,Anteil Schweizer,Anteil Ausl,Anteil Ja,Anteil Nein,Einwohner,Quantile
VD,Cheseaux-Noréaz,580,83,5,102,193,0.874811463,0.125188537,0.3457627119,0.6542372881,663,25% - 50%
VD,Cheseaux-sur-Lausanne,3077,878,28,566,925,0.7780025284,0.2219974716,0.3796109993,0.6203890007,3955,75% - 90%
VD,Chéserex,913,298,6,168,284,0.7539223782,0.2460776218,0.3716814159,0.6283185841,1211,25% - 50%
FR,Chésopelloz,112,14,0,25,21,0.8888888889,0.1111111111,0.5434782609,0.4565217391,126,0% - 25%
VD,Chessel,310,49,0,87,82,0.8635097493,0.1364902507,0.5147928994,0.4852071006,359,0% - 25%
VD,Chevilly,225,21,1,23,71,0.9146341463,0.08536585366,0.2446808511,0.7553191489,246,0% - 25%
VD,Chevroux,374,39,1,98,86,0.9055690073,0.09443099274,0.5326086957,0.4673913043,413,0% - 25%
VD,Chexbres,1653,428,3,312,532,0.7943296492,0.2056703508,0.3696682464,0.6303317536,2081,50% - 75%
FR,Cheyres,1120,122,1,265,265,0.9017713366,0.09822866345,0.5,0.5,1242,25% - 50%
TI,Chiasso,4862,3071,40,1784,693,0.6128828942,0.3871171058,0.7202260799,0.2797739201,7933,90% - 99%
VD,Chigny,243,88,1,51,73,0.7341389728,0.2658610272,0.4112903226,0.5887096774,331,0% - 25%
VS,Chippis,925,742,17,235,255,0.5548890222,0.4451109778,0.4795918367,0.5204081633,1667,50% - 75%
GE,Choulex,822,263,2,155,259,0.7576036866,0.2423963134,0.3743961353,0.6256038647,1085,25% - 50%
GR,Chur,27763,6324,154,6027,7387,0.8144747264,0.1855252736,0.4493066945,0.5506933055,34087,99% - 100%
GR,Churwalden,1640,443,5,356,323,0.7873259722,0.2126740278,0.5243004418,0.4756995582,2083,50% - 75%
VD,Clarmont,123,22,0,26,45,0.8482758621,0.1517241379,0.3661971831,0.6338028169,145,0% - 25%
TI,Claro,2232,477,3,698,242,0.8239202658,0.1760797342,0.7425531915,0.2574468085,2709,50% - 75%
JU,Clos du Doubs,1192,86,1,278,245,0.9327073552,0.06729264476,0.5315487572,0.4684512428,1278,25% - 50%
JU,Coeuve,657,44,0,137,129,0.937232525,0.06276747504,0.515037594,0.484962406,701,25% - 50%
VD,Coinsins,313,84,1,84,84,0.7884130982,0.2115869018,0.5,0.5,397,0% - 25%
TI,Coldrerio,2204,507,9,913,317,0.8129841387,0.1870158613,0.7422764228,0.2577235772,2711,50% - 75%
GE,Collex-Bossy,1139,513,4,181,379,0.6894673123,0.3105326877,0.3232142857,0.6767857143,1652,50% - 75%
TI,Collina d'Oro,3186,1253,22,1183,518,0.7177292183,0.2822707817,0.695473251,0.304526749,4439,75% - 90%
VS,Collombey-Muraz,5948,1802,30,1377,1261,0.767483871,0.232516129,0.5219863533,0.4780136467,7750,90% - 99%
GE,Collonge-Bellerive,5355,2164,22,961,1774,0.7121957707,0.2878042293,0.3513711152,0.6486288848,7519,90% - 99%
VS,Collonges,551,79,3,133,153,0.8746031746,0.1253968254,0.465034965,0.534965035,630,25% - 50%
GE,Cologny,3035,1795,11,595,976,0.6283643892,0.3716356108,0.3787396563,0.6212603437,4830,75% - 90%
TI,Comano,1786,231,3,615,370,0.8854734755,0.1145265245,0.6243654822,0.3756345178,2017,50% - 75%
VD,Commugny,1675,1081,19,318,520,0.6077648766,0.3922351234,0.3794749403,0.6205250597,2756,50% - 75%
VD,Concise,751,118,1,158,230,0.8642117376,0.1357882624,0.4072164948,0.5927835052,869,25% - 50%
GE,Confignon,3592,715,4,588,1181,0.8339911772,0.1660088228,0.3323911815,0.6676088185,4307,75% - 90%
GR,Conters im Prättigau,211,14,1,65,21,0.9377777778,0.06222222222,0.7558139535,0.2441860465,225,0% - 25%
VS,Conthey,6178,1876,42,1466,1562,0.7670722622,0.2329277378,0.4841479524,0.5158520476,8054,90% - 99%
VD,Coppet,1754,1322,30,315,554,0.5702210663,0.4297789337,0.3624856157,0.6375143843,3076,50% - 75%
JU,Corban,450,12,2,99,96,0.974025974,0.02597402597,0.5076923077,0.4923076923,462,0% - 25%
VD,Corbeyrier,352,35,3,98,92,0.9095607235,0.09043927649,0.5157894737,0.4842105263,387,0% - 25%
FR,Corbières,689,68,0,170,137,0.9101717305,0.08982826948,0.5537459283,0.4462540717,757,25% - 50%
BE,Corcelles (BE),203,6,1,62,28,0.971291866,0.02870813397,0.6888888889,0.3111111111,209,0% - 25%
NE,Corcelles-Cormondrèche,3802,860,24,576,1374,0.8155298155,0.1844701845,0.2953846154,0.7046153846,4662,75% - 90%
VD,Corcelles-le-Jorat,368,55,0,99,110,0.8699763593,0.1300236407,0.4736842105,0.5263157895,423,0% - 25%
VD,Corcelles-près-Concise,271,26,0,37,103,0.9124579125,0.08754208754,0.2642857143,0.7357142857,297,0% - 25%
VD,Corcelles-près-Payerne,1635,362,8,438,344,0.8187280921,0.1812719079,0.5601023018,0.4398976982,1997,50% - 75%
VD,Corcelles-sur-Chavornay,309,38,1,57,102,0.8904899135,0.1095100865,0.358490566,0.641509434,347,0% - 25%
BE,Corgémont,1399,205,1,338,255,0.8721945137,0.1278054863,0.5699831366,0.4300168634,1604,50% - 75%
TI,Corippo,11,1,0,5,2,0.9166666667,0.08333333333,0.7142857143,0.2857142857,12,0% - 25%
FR,Corminboeuf,1957,183,6,361,593,0.9144859813,0.08551401869,0.3784067086,0.6215932914,2140,50% - 75%
