 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20100408;15.8;0.0;52
WAE;20100409;15.8;0.0;73
WAE;20100410;14.5;0.0;22
WAE;20100411;11.2;0.0;59
WAE;20100412;9.1;0.0;1
WAE;20100413;11.8;0.0;80
WAE;20100414;9.4;0.0;17
WAE;20100415;10.9;0.4;8
WAE;20100416;12.0;0.0;31
WAE;20100417;16.6;0.0;78
WAE;20100418;15.7;0.0;29
WAE;20100419;17.8;0.1;64
WAE;20100420;16.8;0.4;29
WAE;20100421;18.8;0.0;66
WAE;20100422;17.0;0.0;88
WAE;20100423;17.2;0.0;53
WAE;20100424;21.3;0.0;93
WAE;20100425;22.4;0.0;87
WAE;20100426;17.6;3.7;43
WAE;20100427;20.0;0.0;82
WAE;20100428;22.1;0.0;94
WAE;20100429;24.6;0.0;93
WAE;20100430;22.2;0.2;50
WAE;20100501;13.8;3.8;0
WAE;20100502;11.1;8.9;0
WAE;20100503;11.3;1.6;2
WAE;20100504;11.3;0.3;0
WAE;20100505;9.9;2.8;0
WAE;20100506;10.8;0.9;0
WAE;20100507;10.8;0.2;4
WAE;20100508;16.6;0.0;55
WAE;20100509;17.4;1.3;41
WAE;20100510;16.0;5.0;10
WAE;20100511;20.6;7.0;42
WAE;20100512;16.8;0.0;15
WAE;20100513;9.0;6.1;0
WAE;20100514;10.8;0.4;0
WAE;20100515;9.7;1.2;0
WAE;20100516;10.4;0.1;0
WAE;20100517;15.0;0.0;18
WAE;20100518;13.9;0.5;11
WAE;20100519;12.6;2.2;19
WAE;20100520;12.2;0.3;0
WAE;20100521;16.8;0.0;23
WAE;20100522;21.5;0.0;93
WAE;20100523;23.1;0.0;98
WAE;20100524;26.5;0.0;98
WAE;20100525;27.9;0.0;63
WAE;20100526;23.3;1.9;44
WAE;20100527;18.4;2.3;17
WAE;20100528;19.8;0.2;22
WAE;20100529;20.9;10.4;49
WAE;20100530;16.3;20.3;1
WAE;20100531;15.9;0.4;14
WAE;20100601;16.7;0.2;28
WAE;20100602;13.7;2.5;0
WAE;20100603;16.5;5.6;6
WAE;20100604;23.1;0.0;91
WAE;20100605;26.6;0.0;93
WAE;20100606;26.8;2.3;54
WAE;20100607;20.2;0.1;7
WAE;20100608;25.1;0.0;56
WAE;20100609;29.1;0.0;59
WAE;20100610;30.3;0.0;60
WAE;20100611;26.5;0.0;66
WAE;20100612;20.9;0.8;0
WAE;20100613;18.8;8.6;1
WAE;20100614;21.5;0.0;42
WAE;20100615;20.7;0.0;6
WAE;20100616;16.1;0.7;0
WAE;20100617;19.0;3.1;3
WAE;20100618;17.1;12.6;8
WAE;20100619;13.3;27.7;0
WAE;20100620;11.3;4.0;1
WAE;20100621;13.2;0.1;0
WAE;20100622;16.6;0.0;19
WAE;20100623;21.8;0.0;96
WAE;20100624;23.5;0.0;97
WAE;20100625;25.0;0.0;98
WAE;20100626;27.3;0.0;95
WAE;20100627;28.3;0.0;96
WAE;20100628;28.6;0.0;96
WAE;20100629;28.4;0.0;82
WAE;20100630;28.4;0.0;88
WAE;20100701;29.0;0.0;86
WAE;20100702;30.9;0.0;89
WAE;20100703;31.6;22.2;72
WAE;20100704;26.8;0.0;40
WAE;20100705;26.8;0.0;45
WAE;20100706;24.0;3.8;24
WAE;20100707;26.0;0.0;97
